Category | Function,Role,Resource type,Unit,Region,Rate_low,Rate_high,Currency,Source,Notes,Estimated_Cost,Band,Anomaly_Flag
Business Marketing,Business Marketing - Manager,FTE,Day,US-AUS,711.96,711.96,USD,EG_JH Resource Calc,,302.96,K,
Business Marketing,Business Marketing - Senior Manager,FTE,Day,US-AUS,924.35,924.35,USD,EG_JH Resource Calc,,393.34,L,
Business Marketing,Senior Business Marketing Manager,FTE,Day,US-AUS,924.35,924.35,USD,EG_JH Resource Calc,,393.34,L,
Business Marketing,Business Marketing - Director,FTE,Day,US-AUS,"1,215.73","1,215.73",USD,EG_JH Resource Calc,,517.33,M,
Business Marketing,Business Marketing - Senior Director,FTE,Day,US-AUS,"1,561.45","1,561.45",USD,EG_JH Resource Calc,,664.45,N,
Business Marketing,Business Marketing - Manager,FTE,Day,US-SF,799.72,799.72,USD,EG_JH Resource Calc,,340.31,K,
Business Marketing,Business Marketing - Senior Manager,FTE,Day,US-SF,"1,043.46","1,043.46",USD,EG_JH Resource Calc,,444.03,L,
Business Marketing,Senior Business Marketing Manager,FTE,Day,US-SF,"1,043.46","1,043.46",USD,EG_JH Resource Calc,,444.03,L,
Business Marketing,Business Marketing - Director,FTE,Day,US-SF,"1,360.33","1,360.33",USD,EG_JH Resource Calc,,578.86,M,
Business Marketing,Business Marketing - Senior Director,FTE,Day,US-SF,"1,725.93","1,725.93",USD,EG_JH Resource Calc,,734.44,N,
Business Marketing,Business Marketing - Manager,FTE,Day,US-SEA,685.64,685.64,USD,EG_JH Resource Calc,,291.76,K,
Business Marketing,Business Marketing - Senior Manager,FTE,Day,US-SEA,896.2,896.2,USD,EG_JH Resource Calc,,381.36,L,
Business Marketing,Senior Business Marketing Manager,FTE,Day,US-SEA,896.2,896.2,USD,EG_JH Resource Calc,,381.36,L,
Business Marketing,Business Marketing - Director,FTE,Day,US-SEA,"1,185.12","1,185.12",USD,EG_JH Resource Calc,,504.31,M,
Business Marketing,Business Marketing - Senior Director,FTE,Day,US-SEA,"1,527.91","1,527.91",USD,EG_JH Resource Calc,,650.17,N,
Business Marketing,Business Marketing - Manager,FTE,Day,US-LA,799.72,799.72,USD,EG_JH Resource Calc,,340.31,K,
Business Marketing,Business Marketing - Senior Manager,FTE,Day,US-LA,"1,043.46","1,043.46",USD,EG_JH Resource Calc,,444.03,L,
Business Marketing,Senior Business Marketing Manager,FTE,Day,US-LA,"1,043.46","1,043.46",USD,EG_JH Resource Calc,,444.03,L,
Business Marketing,Business Marketing - Director,FTE,Day,US-LA,"1,360.33","1,360.33",USD,EG_JH Resource Calc,,578.86,M,
Business Marketing,Business Marketing - Senior Director,FTE,Day,US-LA,"1,725.93","1,725.93",USD,EG_JH Resource Calc,,734.44,N,
Communications Planning,Comms Planning - Manager,FTE,Day,UK-LON,540.53,540.53,GBP,EG_JH Resource Calc,,230.01,K,
Communications Planning,Comms Planning - Senior Manager,FTE,Day,UK-LON,727.82,727.82,GBP,EG_JH Resource Calc,,309.71,L,
Communications Planning,Senior Comms Planner,FTE,Day,UK-LON,727.82,727.82,GBP,EG_JH Resource Calc,,309.71,L,
Communications Planning,Comms Planning - Director,FTE,Day,UK-LON,972.38,972.38,GBP,EG_JH Resource Calc,,413.78,M,
Communications Planning,Comms Planning - Senior Director,FTE,Day,UK-LON,1252.49,1252.49,GBP,EG_JH Resource Calc,,532.97,N,
Communications Planning,Comms Planning - Manager,FTE,Day,US-AUS,711.96,711.96,USD,EG_JH Resource Calc,,302.96,K,
Communications Planning,Comms Planning - Senior Manager,FTE,Day,US-AUS,924.35,924.35,USD,EG_JH Resource Calc,,393.34,L,
Communications Planning,Senior Comms Planner,FTE,Day,US-AUS,924.35,924.35,USD,EG_JH Resource Calc,,393.34,L,
Communications Planning,Comms Planning - Director,FTE,Day,US-AUS,"1,215.73","1,215.73",USD,EG_JH Resource Calc,,517.33,M,
Communications Planning,Comms Planning - Senior Director,FTE,Day,US-AUS,"1,561.45","1,561.45",USD,EG_JH Resource Calc,,664.45,N,
Communications Planning,Comms Planning - Manager,FTE,Day,US-SF,799.72,799.72,USD,EG_JH Resource Calc,,340.31,K,
Communications Planning,Comms Planning - Senior Manager,FTE,Day,US-SF,"1,043.46","1,043.46",USD,EG_JH Resource Calc,,444.03,L,
Communications Planning,Senior Comms Planner,FTE,Day,US-SF,"1,043.46","1,043.46",USD,EG_JH Resource Calc,,444.03,L,
Communications Planning,Comms Planning - Director,FTE,Day,US-SF,"1,360.41","1,360.41",USD,EG_JH Resource Calc,,578.9,M,
Communications Planning,Comms Planning - Senior Director,FTE,Day,US-SF,"1,725.93","1,725.93",USD,EG_JH Resource Calc,,734.44,N,
Communications Planning,Comms Planning - Manager,FTE,Day,US-SEA,685.64,685.64,USD,EG_JH Resource Calc,,291.76,K,
Communications Planning,Comms Planning - Senior Manager,FTE,Day,US-SEA,896.2,896.2,USD,EG_JH Resource Calc,,381.36,L,
Communications Planning,Senior Comms Planner,FTE,Day,US-SEA,896.2,896.2,USD,EG_JH Resource Calc,,381.36,L,
Communications Planning,Comms Planning - Director,FTE,Day,US-SEA,"1,185.12","1,185.12",USD,EG_JH Resource Calc,,504.31,M,
Communications Planning,Comms Planning - Senior Director,FTE,Day,US-SEA,"1,527.91","1,527.91",USD,EG_JH Resource Calc,,650.17,N,
Communications Planning,Comms Planning - Manager,FTE,Day,US-LA,799.72,799.72,USD,EG_JH Resource Calc,,340.31,K,
Communications Planning,Comms Planning - Senior Manager,FTE,Day,US-LA,"1,043.46","1,043.46",USD,EG_JH Resource Calc,,444.03,L,
Communications Planning,Senior Comms Planner,FTE,Day,US-LA,"1,043.46","1,043.46",USD,EG_JH Resource Calc,,444.03,L,
Communications Planning,Comms Planning - Director,FTE,Day,US-LA,"1,360.41","1,360.41",USD,EG_JH Resource Calc,,578.9,M,
Communications Planning,Comms Planning - Senior Director,FTE,Day,US-LA,"1,725.93","1,725.93",USD,EG_JH Resource Calc,,734.44,N,
Creative,Senior Art Director,FTE,Day,UK-LON,540.53,540.53,GBP,EG_JH Resource Calc,,230.01,K,
Creative,Senior Copywriter,FTE,Day,UK-LON,540.53,540.53,GBP,EG_JH Resource Calc,,230.01,K,
Creative,Art Director (US - Contract),Contractor,Day,US-National,944,"1,180.00",USD,EG_JH Resource Calc,,401.7,L,
Creative,CD (UK),Contractor,Day,UK-LON,1137.5,1137.5,GBP,EG_JH Resource Calc,,484.04,N,
Creative,CD (US),Contractor,Day,US-National,1248,"1,664.00",USD,EG_JH Resource Calc,,531.06,M,
Creative,Content Editor (UK - Contract),Contractor,Day,UK-National,455,715,GBP,EG_JH Resource Calc,,193.62,J,
Creative,Creative Specialist (US - Contract),Contractor,Day,US-National,"1,770.00",1888,USD,EG_JH Resource Calc,CD role rate,753.19,N,
Creative,Marketing Coordinator III (UK - Contract),Contractor,Day,UK-LON,390,390,GBP,EG_JH Resource Calc,,165.96,J,
Creative,Marketing Coordinator III (US - Contract),Contractor,Day,US-National,499.2,499.2,USD,EG_JH Resource Calc,,212.43,J,
Creative,Senior Copywriter (US - Contract),Contractor,Day,US-National,944,1180,USD,EG_JH Resource Calc,,401.7,L,
Creative,ACD Art,FTE,Day,UK-LON,727.82,727.82,GBP,EG_JH Resource Calc,,309.71,L,
Creative,ACD Copy,FTE,Day,UK-LON,727.82,727.82,GBP,EG_JH Resource Calc,,309.71,L,
Creative,CD Art,FTE,Day,UK-LON,972.38,972.38,GBP,EG_JH Resource Calc,,413.78,M,
Creative,CD Copy,FTE,Day,UK-LON,972.38,972.38,GBP,EG_JH Resource Calc,,413.78,M,
Creative,ECD - Head of Music,FTE,Day,UK-LON,1252.49,1252.49,GBP,EG_JH Resource Calc,,532.97,N,
Creative,ECD Art,FTE,Day,UK-LON,1252.49,1252.49,GBP,EG_JH Resource Calc,,532.97,N,
Creative,ECD Copy,FTE,Day,UK-LON,1252.49,1252.49,GBP,EG_JH Resource Calc,,532.97,N,
Creative,VP - Creative,FTE,Day,UK-LON,1910.18,1910.18,GBP,EG_JH Resource Calc,,812.84,O,
Creative,Senior Art Director,FTE,Day,US-AUS,711.96,711.96,USD,EG_JH Resource Calc,,302.96,K,
Creative,Senior Copywriter,FTE,Day,US-AUS,711.96,711.96,USD,EG_JH Resource Calc,,302.96,K,
Creative,ACD Art,FTE,Day,US-AUS,924.35,924.35,USD,EG_JH Resource Calc,,393.34,L,
Creative,ACD Copy,FTE,Day,US-AUS,924.35,924.35,USD,EG_JH Resource Calc,,393.34,L,
Creative,CD Art,FTE,Day,US-AUS,"1,215.73","1,215.73",USD,EG_JH Resource Calc,,517.33,M,
Creative,CD Copy,FTE,Day,US-AUS,"1,215.73","1,215.73",USD,EG_JH Resource Calc,,517.33,M,
Creative,ECD - Head of Music,FTE,Day,US-AUS,"1,561.45","1,561.45",USD,EG_JH Resource Calc,,664.45,N,
Creative,ECD Art,FTE,Day,US-AUS,"1,561.45","1,561.45",USD,EG_JH Resource Calc,,664.45,N,
Creative,ECD Copy,FTE,Day,US-AUS,"1,561.45","1,561.45",USD,EG_JH Resource Calc,,664.45,N,
Creative,VP - Creative,FTE,Day,US-AUS,"1,857.79","1,857.79",USD,EG_JH Resource Calc,,790.55,N,
Creative,Senior Art Director,FTE,Day,US-SF,799.72,799.72,USD,EG_JH Resource Calc,,340.31,K,
Creative,Senior Copywriter,FTE,Day,US-SF,799.72,799.72,USD,EG_JH Resource Calc,,340.31,K,
Creative,ACD Art,FTE,Day,US-SF,"1,043.46","1,043.46",USD,EG_JH Resource Calc,,444.03,L,
Creative,ACD Copy,FTE,Day,US-SF,"1,043.46","1,043.46",USD,EG_JH Resource Calc,,444.03,L,
Creative,CD Art,FTE,Day,US-SF,"1,360.39","1,360.39",USD,EG_JH Resource Calc,,578.89,M,
Creative,CD Copy,FTE,Day,US-SF,"1,360.40","1,360.40",USD,EG_JH Resource Calc,,578.89,M,
Creative,ECD - Head of Music,FTE,Day,US-SF,"1,725.93","1,725.93",USD,EG_JH Resource Calc,,734.44,N,
Creative,ECD Art,FTE,Day,US-SF,"1,725.93","1,725.93",USD,EG_JH Resource Calc,,734.44,N,
Creative,ECD Copy,FTE,Day,US-SF,"1,725.93","1,725.93",USD,EG_JH Resource Calc,,734.44,N,
Creative,VP - Creative,FTE,Day,US-SF,"2,091.54","2,091.54",USD,EG_JH Resource Calc,,890.02,O,
Creative,Senior Art Director,FTE,Day,US-SEA,685.64,685.64,USD,EG_JH Resource Calc,,291.76,K,
Creative,Senior Copywriter,FTE,Day,US-SEA,685.64,685.64,USD,EG_JH Resource Calc,,291.76,K,
Creative,ACD Art,FTE,Day,US-SEA,896.2,896.2,USD,EG_JH Resource Calc,,381.36,L,
Creative,ACD Copy,FTE,Day,US-SEA,896.2,896.2,USD,EG_JH Resource Calc,,381.36,L,
Creative,CD Art,FTE,Day,US-SEA,"1,185.12","1,185.12",USD,EG_JH Resource Calc,,504.31,M,
Creative,CD Copy,FTE,Day,US-SEA,"1,185.12","1,185.12",USD,EG_JH Resource Calc,,504.31,M,
Creative,ECD - Head of Music,FTE,Day,US-SEA,"1,527.91","1,527.91",USD,EG_JH Resource Calc,,650.17,N,
Creative,ECD Art,FTE,Day,US-SEA,"1,527.91","1,527.91",USD,EG_JH Resource Calc,,650.17,N,
Creative,ECD Copy,FTE,Day,US-SEA,"1,527.91","1,527.91",USD,EG_JH Resource Calc,,650.17,N,
Creative,VP - Creative,FTE,Day,US-SEA,"2,448.95","2,448.95",USD,EG_JH Resource Calc,,1042.11,O,
Creative,Senior Art Director,FTE,Day,US-LA,799.72,799.72,USD,EG_JH Resource Calc,,340.31,K,
Creative,Senior Copywriter,FTE,Day,US-LA,799.72,799.72,USD,EG_JH Resource Calc,,340.31,K,
Creative,ACD Art,FTE,Day,US-LA,"1,043.46","1,043.46",USD,EG_JH Resource Calc,,444.03,L,
Creative,ACD Copy,FTE,Day,US-LA,"1,043.46","1,043.46",USD,EG_JH Resource Calc,,444.03,L,
Creative,CD Art,FTE,Day,US-LA,"1,360.39","1,360.39",USD,EG_JH Resource Calc,,578.89,M,
Creative,CD Copy,FTE,Day,US-LA,"1,360.40","1,360.40",USD,EG_JH Resource Calc,,578.89,M,
Creative,ECD - Head of Music,FTE,Day,US-LA,"1,725.93","1,725.93",USD,EG_JH Resource Calc,,734.44,N,
Creative,ECD Art,FTE,Day,US-LA,"1,725.93","1,725.93",USD,EG_JH Resource Calc,,734.44,N,
Creative,ECD Copy,FTE,Day,US-LA,"1,725.93","1,725.93",USD,EG_JH Resource Calc,,734.44,N,
Creative,VP - Creative,FTE,Day,US-LA,"2,091.54","2,091.54",USD,EG_JH Resource Calc,,890.02,O,
Creative,Animation Artist,FTE,Hour,UK-LON,80.00,80.00,GBP,OP_Content Lab,Exact Rate Match,34.04,K,
Creative,Animation Artist,FTE,Hour,EU-ES,80.00,80.00,EUR,OP_Content Lab,Exact Rate Match,34.04,K,
Creative,Animation Artist,FTE,Hour,EU-FR,115.00,115.00,EUR,OP_Content Lab,Exact Rate Match,48.94,L,
Creative,Animation Artist,FTE,Hour,EU-DE,120.00,120.00,EUR,OP_Content Lab,Exact Rate Match,51.06,L,
Creative,Animation Artist,FTE,Hour,EU-IT,100.00,100.00,EUR,OP_Content Lab,Exact Rate Match,42.55,L,
Creative,Animation Artist,FTE,Hour,LATAM-BR,420.00,420.00,BRL,OP_Content Lab,Exact Rate Match,178.72,J,
Creative,Animation Artist,FTE,Hour,APAC-CN,630.00,630.00,CNY,OP_Content Lab,Exact Rate Match,268.09,K,
Creative,Animation Artist,FTE,Hour,NA-CA,118.00,118.00,CAD,OP_Content Lab,Exact Rate Match,50.21,K,
Creative,Animation Artist,FTE,Hour,EU-CH,120.00,120.00,CHF,OP_Content Lab,Exact Rate Match,51.06,M,
Creative,Animation Artist,FTE,Hour,APAC-IN,30.00,30.00,USD,OP_Content Lab,Exact Rate Match,12.77,J,
Creative,Animation Artist,FTE,Hour,APAC-CN-USD,42.00,42.00,USD,OP_Content Lab,Exact Rate Match,17.87,J,
Creative,Animation Artist,FTE,Hour,LATAM-MX,45.00,45.00,USD,OP_Content Lab,Exact Rate Match,19.15,J,
Creative,Animation Artist,FTE,Hour,EU-PL,47.50,47.50,USD,OP_Content Lab,Exact Rate Match,20.21,J,
Creative,Art Director,FTE,Hour,UK-LON,95.00,95.00,GBP,OP_Content Lab,Exact Rate Match,40.43,L,
Creative,Art Director,FTE,Hour,EU-ES,100.00,115.00,EUR,OP_Content Lab,Exact Rate Match,42.55,L,
Creative,Art Director,FTE,Hour,EU-FR,120.00,140.00,EUR,OP_Content Lab,Exact Rate Match,51.06,L,
Creative,Art Director,FTE,Hour,EU-DE,120.00,140.00,EUR,OP_Content Lab,Exact Rate Match,51.06,L,
Creative,Art Director,FTE,Hour,EU-IT,120.00,120.00,EUR,OP_Content Lab,Exact Rate Match,51.06,L,
Creative,Art Director,FTE,Hour,LATAM-BR,580.00,580.00,BRL,OP_Content Lab,Exact Rate Match,246.81,K,
Creative,Art Director,FTE,Hour,APAC-CN,775.00,775.00,CNY,OP_Content Lab,Exact Rate Match,329.79,L,
Creative,Art Director,FTE,Hour,NA-CA,122.00,122.00,CAD,OP_Content Lab,Exact Rate Match,51.91,K,
Creative,Art Director,FTE,Hour,EU-CH,140.00,140.00,CHF,OP_Content Lab,Exact Rate Match,59.57,M,
Creative,Art Director,FTE,Hour,APAC-IN,30.00,30.00,USD,OP_Content Lab,Exact Rate Match,12.77,J,
Creative,Art Director,FTE,Hour,APAC-CN-USD,42.00,42.00,USD,OP_Content Lab,Exact Rate Match,17.87,J,
Creative,Art Director,FTE,Hour,LATAM-MX,45.00,45.00,USD,OP_Content Lab,Exact Rate Match,19.15,J,
Creative,Art Director,FTE,Hour,EU-PL,47.50,47.50,USD,OP_Content Lab,Exact Rate Match,20.21,J,
Creative,ACD - Associate Creative Director,FTE,Hour,UK-LON,130.00,130.00,GBP,OP_Content Lab,Exact Rate Match,55.32,M,
Creative,ACD - Associate Creative Director,FTE,Hour,EU-ES,120.00,120.00,EUR,OP_Content Lab,Exact Rate Match,51.06,L,
Creative,ACD - Associate Creative Director,FTE,Hour,EU-FR,175.00,175.00,EUR,OP_Content Lab,Exact Rate Match,74.47,N,
Creative,ACD - Associate Creative Director,FTE,Hour,EU-DE,150.00,150.00,EUR,OP_Content Lab,Exact Rate Match,63.83,M,
Creative,ACD - Associate Creative Director,FTE,Hour,EU-IT,127.00,127.00,EUR,OP_Content Lab,Exact Rate Match,54.04,M,
Creative,ACD - Associate Creative Director,FTE,Hour,LATAM-BR,640.00,640.00,BRL,OP_Content Lab,Exact Rate Match,272.34,L,
Creative,ACD - Associate Creative Director,FTE,Hour,APAC-CN,710.00,710.00,CNY,OP_Content Lab,Exact Rate Match,302.13,K,
Creative,ACD - Associate Creative Director,FTE,Hour,NA-CA,145.00,145.00,CAD,OP_Content Lab,Exact Rate Match,61.7,L,
Creative,ACD - Associate Creative Director,FTE,Hour,EU-CH,150.00,150.00,CHF,OP_Content Lab,Exact Rate Match,63.83,M,
Creative,ACD - Associate Creative Director,FTE,Hour,APAC-IN,30.00,30.00,USD,OP_Content Lab,Exact Rate Match,12.77,J,
Creative,ACD - Associate Creative Director,FTE,Hour,APAC-CN-USD,42.00,42.00,USD,OP_Content Lab,Exact Rate Match,17.87,J,
Creative,ACD - Associate Creative Director,FTE,Hour,LATAM-MX,45.00,45.00,USD,OP_Content Lab,Exact Rate Match,19.15,J,
Creative,ACD - Associate Creative Director,FTE,Hour,EU-PL,47.50,47.50,USD,OP_Content Lab,Exact Rate Match,20.21,J,
Creative,Content Strategist,FTE,Hour,UK-LON,80.00,80.00,GBP,OP_Content Lab,Exact Rate Match,34.04,K,
Creative,Content Strategist,FTE,Hour,EU-ES,80.00,80.00,EUR,OP_Content Lab,Exact Rate Match,34.04,K,
Creative,Content Strategist,FTE,Hour,EU-FR,115.00,115.00,EUR,OP_Content Lab,Exact Rate Match,48.94,L,
Creative,Content Strategist,FTE,Hour,EU-DE,120.00,120.00,EUR,OP_Content Lab,Exact Rate Match,51.06,L,
Creative,Content Strategist,FTE,Hour,EU-IT,100.00,100.00,EUR,OP_Content Lab,Exact Rate Match,42.55,L,
Creative,Content Strategist,FTE,Hour,LATAM-BR,420.00,420.00,BRL,OP_Content Lab,Exact Rate Match,178.72,J,
Creative,Content Strategist,FTE,Hour,APAC-CN,630.00,630.00,CNY,OP_Content Lab,Exact Rate Match,268.09,K,
Creative,Content Strategist,FTE,Hour,NA-CA,118.00,118.00,CAD,OP_Content Lab,Exact Rate Match,50.21,K,
Creative,Content Strategist,FTE,Hour,EU-CH,120.00,120.00,CHF,OP_Content Lab,Exact Rate Match,51.06,M,
Creative,Content Strategist,FTE,Hour,APAC-IN,30.00,30.00,USD,OP_Content Lab,Exact Rate Match,12.77,J,
Creative,Content Strategist,FTE,Hour,APAC-CN-USD,42.00,42.00,USD,OP_Content Lab,Exact Rate Match,17.87,J,
Creative,Content Strategist,FTE,Hour,LATAM-MX,45.00,45.00,USD,OP_Content Lab,Exact Rate Match,19.15,J,
Creative,Content Strategist,FTE,Hour,EU-PL,47.50,47.50,USD,OP_Content Lab,Exact Rate Match,20.21,J,
Creative,Copy Supervisor,FTE,Hour,UK-LON,80.00,80.00,GBP,OP_Content Lab,Exact Rate Match,34.04,K,
Creative,Copy Supervisor,FTE,Hour,EU-ES,80.00,80.00,EUR,OP_Content Lab,Exact Rate Match,34.04,K,
Creative,Copy Supervisor,FTE,Hour,EU-FR,115.00,115.00,EUR,OP_Content Lab,Exact Rate Match,48.94,L,
Creative,Copy Supervisor,FTE,Hour,EU-DE,120.00,120.00,EUR,OP_Content Lab,Exact Rate Match,51.06,L,
Creative,Copy Supervisor,FTE,Hour,EU-IT,100.00,100.00,EUR,OP_Content Lab,Exact Rate Match,42.55,L,
Creative,Copy Supervisor,FTE,Hour,LATAM-BR,420.00,420.00,BRL,OP_Content Lab,Exact Rate Match,178.72,J,
Creative,Copy Supervisor,FTE,Hour,APAC-CN,630.00,630.00,CNY,OP_Content Lab,Exact Rate Match,268.09,K,
Creative,Copy Supervisor,FTE,Hour,NA-CA,118.00,118.00,CAD,OP_Content Lab,Exact Rate Match,50.21,K,
Creative,Copy Supervisor,FTE,Hour,EU-CH,120.00,120.00,CHF,OP_Content Lab,Exact Rate Match,51.06,M,
Creative,Copy Supervisor,FTE,Hour,APAC-IN,30.00,30.00,USD,OP_Content Lab,Exact Rate Match,12.77,J,
Creative,Copy Supervisor,FTE,Hour,APAC-CN-USD,42.00,42.00,USD,OP_Content Lab,Exact Rate Match,17.87,J,
Creative,Copy Supervisor,FTE,Hour,LATAM-MX,45.00,45.00,USD,OP_Content Lab,Exact Rate Match,19.15,J,
Creative,Copy Supervisor,FTE,Hour,EU-PL,47.50,47.50,USD,OP_Content Lab,Exact Rate Match,20.21,J,
Creative,Copywriter,FTE,Hour,UK-LON,95.00,95.00,GBP,OP_Content Lab,Exact Rate Match,40.43,L,
Creative,Copywriter,FTE,Hour,EU-ES,100.00,105.00,EUR,OP_Content Lab,Exact Rate Match,42.55,L,
Creative,Copywriter,FTE,Hour,EU-FR,116.00,140.00,EUR,OP_Content Lab,Exact Rate Match,49.36,L,
Creative,Copywriter,FTE,Hour,EU-DE,116.00,140.00,EUR,OP_Content Lab,Exact Rate Match,49.36,L,
Creative,Copywriter,FTE,Hour,EU-IT,120.00,120.00,EUR,OP_Content Lab,Exact Rate Match,51.06,L,
Creative,Copywriter,FTE,Hour,LATAM-BR,580.00,580.00,BRL,OP_Content Lab,Exact Rate Match,246.81,K,
Creative,Copywriter,FTE,Hour,APAC-CN,775.00,775.00,CNY,OP_Content Lab,Exact Rate Match,329.79,L,
Creative,Copywriter,FTE,Hour,NA-CA,122.00,122.00,CAD,OP_Content Lab,Exact Rate Match,51.91,K,
Creative,Copywriter,FTE,Hour,EU-CH,140.00,140.00,CHF,OP_Content Lab,Exact Rate Match,59.57,M,
Creative,Copywriter,FTE,Hour,APAC-IN,30.00,30.00,USD,OP_Content Lab,Exact Rate Match,12.77,J,
Creative,Copywriter,FTE,Hour,APAC-CN-USD,42.00,42.00,USD,OP_Content Lab,Exact Rate Match,17.87,J,
Creative,Copywriter,FTE,Hour,LATAM-MX,45.00,45.00,USD,OP_Content Lab,Exact Rate Match,19.15,J,
Creative,Copywriter,FTE,Hour,EU-PL,47.50,47.50,USD,OP_Content Lab,Exact Rate Match,20.21,J,
Creative,Creative Director,FTE,Hour,UK-LON,145.00,145.00,GBP,OP_Content Lab,Exact Rate Match,61.7,N,
Creative,Creative Director,FTE,Hour,EU-ES,127.00,147.00,EUR,OP_Content Lab,Exact Rate Match,54.04,M,
Creative,Creative Director,FTE,Hour,EU-FR,167.00,190.00,EUR,OP_Content Lab,Exact Rate Match,71.06,N,
Creative,Creative Director,FTE,Hour,EU-DE,167.00,190.00,EUR,OP_Content Lab,Exact Rate Match,71.06,N,
Creative,Creative Director,FTE,Hour,EU-IT,127.00,140.00,EUR,OP_Content Lab,Exact Rate Match,54.04,M,
Creative,Creative Director,FTE,Hour,LATAM-BR,675.00,675.00,BRL,OP_Content Lab,Exact Rate Match,287.23,L,
Creative,Creative Director,FTE,Hour,APAC-CN,740.00,740.00,CNY,OP_Content Lab,Exact Rate Match,314.89,K,
Creative,Creative Director,FTE,Hour,NA-CA,160.00,160.00,CAD,OP_Content Lab,Exact Rate Match,68.09,L,
Creative,Creative Director,FTE,Hour,EU-CH,190.00,190.00,CHF,OP_Content Lab,Exact Rate Match,80.85,N,
Creative,Creative Director,FTE,Hour,APAC-IN,30.00,30.00,USD,OP_Content Lab,Exact Rate Match,12.77,J,
Creative,Creative Director,FTE,Hour,APAC-CN-USD,42.00,42.00,USD,OP_Content Lab,Exact Rate Match,17.87,J,
Creative,Creative Director,FTE,Hour,LATAM-MX,45.00,45.00,USD,OP_Content Lab,Exact Rate Match,19.15,J,
Creative,Creative Director,FTE,Hour,EU-PL,47.50,47.50,USD,OP_Content Lab,Exact Rate Match,20.21,J,
Creative,Designer,FTE,Hour,UK-LON,80.00,80.00,GBP,OP_Content Lab,Exact Rate Match,34.04,K,
Creative,Designer,FTE,Hour,EU-ES,80.00,80.00,EUR,OP_Content Lab,Exact Rate Match,34.04,K,
Creative,Designer,FTE,Hour,EU-FR,115.00,115.00,EUR,OP_Content Lab,Exact Rate Match,48.94,L,
Creative,Designer,FTE,Hour,EU-DE,120.00,120.00,EUR,OP_Content Lab,Exact Rate Match,51.06,L,
Creative,Designer,FTE,Hour,EU-IT,100.00,100.00,EUR,OP_Content Lab,Exact Rate Match,42.55,L,
Creative,Designer,FTE,Hour,LATAM-BR,420.00,420.00,BRL,OP_Content Lab,Exact Rate Match,178.72,J,
Creative,Designer,FTE,Hour,APAC-CN,630.00,630.00,CNY,OP_Content Lab,Exact Rate Match,268.09,K,
Creative,Designer,FTE,Hour,NA-CA,118.00,118.00,CAD,OP_Content Lab,Exact Rate Match,50.21,K,
Creative,Designer,FTE,Hour,EU-CH,120.00,120.00,CHF,OP_Content Lab,Exact Rate Match,51.06,M,
Creative,Designer,FTE,Hour,APAC-IN,30.00,30.00,USD,OP_Content Lab,Exact Rate Match,12.77,J,
Creative,Designer,FTE,Hour,APAC-CN-USD,42.00,42.00,USD,OP_Content Lab,Exact Rate Match,17.87,J,
Creative,Designer,FTE,Hour,LATAM-MX,45.00,45.00,USD,OP_Content Lab,Exact Rate Match,19.15,J,
Creative,Designer,FTE,Hour,EU-PL,47.50,47.50,USD,OP_Content Lab,Exact Rate Match,20.21,J,
Creative,Executive Creative Director,FTE,Hour,UK-LON,275.00,275.00,GBP,OP_Content Lab,Exact Rate Match,117.02,O,
Creative,Executive Creative Director,FTE,Hour,EU-ES,195.00,195.00,EUR,OP_Content Lab,Exact Rate Match,82.98,N,
Creative,Executive Creative Director,FTE,Hour,EU-FR,250.00,250.00,EUR,OP_Content Lab,Exact Rate Match,106.38,O,
Creative,Executive Creative Director,FTE,Hour,EU-DE,240.00,240.00,EUR,OP_Content Lab,Exact Rate Match,102.13,O,
Creative,Executive Creative Director,FTE,Hour,EU-IT,180.00,180.00,EUR,OP_Content Lab,Exact Rate Match,76.6,N,
Creative,Executive Creative Director,FTE,Hour,LATAM-BR,950.00,950.00,BRL,OP_Content Lab,Exact Rate Match,404.26,M,
Creative,Executive Creative Director,FTE,Hour,APAC-CN,"1,824.00","1,824.00",CNY,OP_Content Lab,Exact Rate Match,776.17,O,
Creative,Executive Creative Director,FTE,Hour,NA-CA,220.00,220.00,CAD,OP_Content Lab,Exact Rate Match,93.62,M,
Creative,Executive Creative Director,FTE,Hour,EU-CH,240.00,240.00,CHF,OP_Content Lab,Exact Rate Match,102.13,O,
Creative,Executive Creative Director,FTE,Hour,APAC-IN,30.00,30.00,USD,OP_Content Lab,Exact Rate Match,12.77,J,
Creative,Executive Creative Director,FTE,Hour,APAC-CN-USD,42.00,42.00,USD,OP_Content Lab,Exact Rate Match,17.87,J,
Creative,Executive Creative Director,FTE,Hour,LATAM-MX,45.00,45.00,USD,OP_Content Lab,Exact Rate Match,19.15,J,
Creative,Executive Creative Director,FTE,Hour,EU-PL,47.50,47.50,USD,OP_Content Lab,Exact Rate Match,20.21,J,
Creative,Flash Designer,FTE,Hour,UK-LON,110.00,110.00,GBP,OP_Content Lab,Exact Rate Match,46.81,M,
Creative,Flash Designer,FTE,Hour,EU-ES,120.00,120.00,EUR,OP_Content Lab,Exact Rate Match,51.06,L,
Creative,Flash Designer,FTE,Hour,EU-FR,175.00,175.00,EUR,OP_Content Lab,Exact Rate Match,74.47,N,
Creative,Flash Designer,FTE,Hour,EU-DE,150.00,150.00,EUR,OP_Content Lab,Exact Rate Match,63.83,M,
